kode;pemda;geo;lat;lon
993063;Kab. Sangihe;MultiPolygon;3,591140485;125,5627804
993059;Kab. Bolaang Mongondow;MultiPolygon;0,802434949;123,954355
993042;Kab. Minahasa;MultiPolygon;1,321937736;124,8165372
993038;Kab. Gorontalo;Polygon;0,597614569;122,7896985
993017;Kota Palu;Polygon;-0,814801212;119,8737108
993000;Kab. Banggai;MultiPolygon;-0,896735166;122,7679963
992998;Kab. Toli-Toli;MultiPolygon;1,023141941;120,6624732
992981;Kab. Donggala;MultiPolygon;-0,301313944;119,7813131
992977;Kab. Poso;MultiPolygon;-1,511503618;120,5648456
992956;Kota Pare-pare;Polygon;-4,023792482;119,6538658
992942;Kota Makassar;MultiPolygon;-5,131838044;119,4312243
992935;Kab. Enrekang;Polygon;-3,45395044;119,8858946
992921;Kab. Polewali Mandar;MultiPolygon;-3,363315633;119,2056858
992914;Kab. Soppeng;Polygon;-4,339853577;119,8929216
992900;Kab. Pangkajene Kepulauan;MultiPolygon;-6,185371593;118,2622575
992892;Kab. Sidenreng Rappang;Polygon;-3,859026536;119,8998269
992888;Kab. Barru;MultiPolygon;-4,369491905;119,6622715
992871;Kab. Takalar;MultiPolygon;-5,457061992;119,3476754
992867;Kab. Kepulauan Selayar;MultiPolygon;-6,932425322;120,9405182
992850;Kab. Jeneponto;MultiPolygon;-5,541235737;119,7218361
992846;Kab. Bantaeng;Polygon;-5,491358543;119,9698593
992832;Kab. Bulukumba;MultiPolygon;-5,459034029;120,2539288
992825;Kab. Sinjai;MultiPolygon;-5,20965562;120,1181896
992811;Kab. Luwu;MultiPolygon;-3,081491724;120,159793
992804;Kab. Majene;MultiPolygon;-3,251134887;118,8994748
992799;Kab. Maros;MultiPolygon;-4,955691213;119,7028021
992782;Kab. Tana Toraja;Polygon;-2,995062465;119,6781583
992778;Kab. Bone;MultiPolygon;-4,713815259;120,1393939
992761;Kab. Mamuju;MultiPolygon;-2,479607061;119,3240456
992757;Kab. Wajo;Polygon;-4,036198606;120,1918524
992740;Kab. Gowa;Polygon;-5,376857615;119,7135064
992736;Kab. Pinrang;MultiPolygon;-3,735303633;119,5943531
992579;Kab. Sumba Barat;MultiPolygon;-9,651662697;119,346443
992562;Kab. Sumba Timur;MultiPolygon;-9,886143895;120,172761
992558;Kab. Manggarai;MultiPolygon;-8,570010669;120,3906861
992541;Kab. Ngada;MultiPolygon;-8,600385942;120,9787173
992537;Kab. Ende;MultiPolygon;-8,669188469;121,8209513
992520;Kab. Flores Timur;MultiPolygon;-8,359646705;122,9533097
992516;Kab. Sikka;MultiPolygon;-8,59185898;122,1680595
992502;Kab. Alor;MultiPolygon;-8,330551808;124,3721219
992494;Kab. Timor Tengah Selatan;Polygon;-9,69528752;124,391574
992480;Kab. Timor Tengah Utara;Polygon;-9,377069649;124,4941406
992473;Kab. Belu;Polygon;-9,196404231;124,937926
992469;Kab. Kupang;MultiPolygon;-10,07124921;123,6915415
992448;Kota Mataram;Polygon;-8,593928658;116,1187352
992431;Kab. Dompu;MultiPolygon;-8,481588589;118,1921683
992427;Kab. Sumbawa;MultiPolygon;-8,61303032;117,5110934
992410;Kab. Bima;MultiPolygon;-8,520404215;118,7507301
992406;Kab. Lombok Timur;MultiPolygon;-8,660588062;116,5393242
992391;Kab. Lombok Tengah;MultiPolygon;-8,757795836;116,2752301
992384;Kab. Lombok Barat;MultiPolygon;-8,748041463;116,0402299
992363;Kota Denpasar;MultiPolygon;-8,672005272;115,2072534
992359;Kab. Tabanan;MultiPolygon;-8,419911237;115,0557776
992342;Kab. Badung;MultiPolygon;-8,577711576;115,1993253
992338;Kab. Bangli;Polygon;-8,332628495;115,3399688
992321;Kab. Karangasem;MultiPolygon;-8,398074385;115,5382321
992317;Kab. Gianyar;Polygon;-8,499604244;115,3115841
992300;Kab. Klungkung;MultiPolygon;-8,602248878;115,4202048
992295;Kab. Jembrana;MultiPolygon;-8,309775668;114,6845043
992281;Kab. Buleleng;MultiPolygon;-8,200656074;114,9184977
992260;Kota Banjarmasin;Polygon;-3,340148365;114,5784617
992253;Kab. Hulu Sungai Utara;Polygon;-2,484298868;115,2442003
992249;Kab. Kotabaru;MultiPolygon;-3,501050265;116,1383854
992232;Kab. Tabalong;Polygon;-1,823479114;115,5122313
992228;Kab. Barito Kuala;MultiPolygon;-3,229985307;114,5722559
992211;Kab. Hulu Sungai Tengah;Polygon;-2,656861048;115,5548714
992207;Kab. Hulu Sungai Selatan;Polygon;-2,719344463;115,3059061
992192;Kab. Tapin;Polygon;-3,02323848;115,1339392
992185;Kab. Tanah Laut;MultiPolygon;-3,773256756;114,8740722
992171;Kab. Banjar;Polygon;-3,315342212;114,9426625
992150;Kota Balikpapan;MultiPolygon;-1,169010348;116,8595077
992143;Kota Samarinda;Polygon;-0,476888758;117,190146
992139;Kab. Berau;MultiPolygon;1,652796449;117,9861615
992122;Kab. Bulungan;MultiPolygon;3,10002905;117,4613375
992118;Kab. Paser;Polygon;-1,453248485;116,284525
992101;Kab. Kutai Kartanegara;MultiPolygon;-0,662161385;117,3480736
992082;Kota Palangkaraya;Polygon;-2,199877332;113,876417
992075;Kab. Kotawaringin Barat;MultiPolygon;-2,705300126;111,815659
992061;Kab. Kotawaringin Timur;MultiPolygon;-2,539020792;112,7844798
992054;Kab. Barito Selatan;Polygon;-1,772335563;115,0127081
992040;Kab. Barito Utara;Polygon;-0,812883177;115,1547538
992033;Kab. Kapuas;MultiPolygon;-1,965223341;114,3061109
992012;Kota Pontianak;Polygon;-0,040666799;109,3416469
992008;Kab. Ketapang;MultiPolygon;-1,245108769;110,2989678
991993;Kab. Kapuas Hulu;Polygon;1,013762593;113,1525572
991989;Kab. Mempawah;MultiPolygon;0,381700927;109,1295003
991972;Kab. Sintang;Polygon;0,245386795;111,6694104
991968;Kab. Sanggau;Polygon;0,043121132;110,1521883
991951;Kab. Sambas;Polygon;1,368056815;109,3209049
991930;Kota Madiun;MultiPolygon;-7,627765741;111,526913
991926;Kota Kediri;Polygon;-7,831098942;112,0198118
991912;Kota Blitar;Polygon;-8,094420998;112,1705826
991905;Kota Probolinggo;Polygon;-7,762817477;113,2160439
991890;Kota Pasuruan;Polygon;-7,642148533;112,9130296
991883;Kota Malang;Polygon;-7,978317025;112,6252952
991879;Kota Mojokerto;Polygon;-7,474977074;112,435701
991862;Kota Surabaya;Polygon;-7,247399618;112,7641307
991858;Kab. Lamongan;MultiPolygon;-6,978168888;112,3344311
991841;Kab. Tuban;Polygon;-6,84396649;111,9531768
991837;Kab. Bojonegoro;Polygon;-7,259265298;111,8291047
991820;Kab. Pacitan;MultiPolygon;-8,219153416;111,1943033
991816;Kab. Ponorogo;Polygon;-7,95812186;111,4871443
991802;Kab. Magetan;Polygon;-7,637303376;111,3952605
991794;Kab. Ngawi;Polygon;-7,464870227;111,4295693
991780;Kab. Madiun;Polygon;-7,602244706;111,5834192
991773;Kab. Blitar;MultiPolygon;-8,265354351;112,2098923
991769;Kab. Trenggalek;MultiPolygon;-8,281936706;111,6032134
991752;Kab. Nganjuk;Polygon;-7,566910664;111,93512
991748;Kab. Tulungagung;MultiPolygon;-8,220168477;111,8610611
991731;Kab. Kediri;Polygon;-7,837515451;112,1153775
991727;Kab. Lumajang;Polygon;-8,056491341;113,1696571
991710;Kab. Probolinggo;MultiPolygon;-7,760948324;113,3810389
991706;Kab. Pasuruan;Polygon;-7,693536554;112,9150796
991691;Kab. Malang;MultiPolygon;-8,30731207;112,6914663
991684;Kab. Jember;MultiPolygon;-8,409344645;113,6417471
991670;Kab. Banyuwangi;MultiPolygon;-8,507270898;114,2382236
991663;Kab. Situbondo;Polygon;-7,739305658;114,0692055
991659;Kab. Bondowoso;Polygon;-7,959053236;113,9313378
991642;Kab. Bangkalan;MultiPolygon;-7,034634347;112,9571143
991638;Kab. Sumenep;MultiPolygon;-6,974480562;114,508371
991621;Kab. Pamekasan;Polygon;-7,042009355;113,5729427
991617;Kab. Sampang;MultiPolygon;-7,055565544;113,2032687
991600;Kab. Jombang;Polygon;-7,526103803;112,2499026
991595;Kab. Sidoarjo;MultiPolygon;-7,476967213;112,8113519
991581;Kab. Mojokerto;Polygon;-7,435156505;112,4645548
991574;Kab. Gresik;MultiPolygon;-6,485074568;112,590535
991553;Kota Yogyakarta;Polygon;-7,804041724;110,3744277
991549;Kab. Kulon Progo;Polygon;-7,859298728;110,118558
991532;Kab. Gunung Kidul;MultiPolygon;-8,030678478;110,6438953
991528;Kab. Sleman;Polygon;-7,710592491;110,4033063
991511;Kab. Bantul;Polygon;-7,934834459;110,3109714
991492;Kota Surakarta;Polygon;-7,564115499;110,8176846
991485;Kota Magelang;Polygon;-7,471277167;110,2193781
991471;Kota Tegal;Polygon;-6,862417876;109,1218798
991464;Kota Pekalongan;Polygon;-6,891424884;109,6768432
991450;Kota Salatiga;Polygon;-7,330240752;110,5013978
991443;Kota Semarang;MultiPolygon;-6,987957393;110,4011943
991439;Kab. Wonogiri;Polygon;-7,996706729;110,9027529
991422;Kab. Karanganyar;MultiPolygon;-7,588624154;110,9430761
991418;Kab. Sukoharjo;Polygon;-7,684685643;110,7900101
991401;Kab. Sragen;Polygon;-7,38714243;110,9844408
991396;Kab. Boyolali;Polygon;-7,413293505;110,634701
991382;Kab. Klaten;Polygon;-7,706622331;110,6232178
991375;Kab. Kebumen;MultiPolygon;-7,767755339;109,6290631
991361;Kab. Purworejo;Polygon;-7,812060425;109,9565881
991354;Kab. Wonosobo;Polygon;-7,413055861;109,9055796
991340;Kab. Temanggung;Polygon;-7,166451225;110,1353886
991333;Kab. Magelang;Polygon;-7,584375027;110,2763534
991329;Kab. Banjarnegara;Polygon;-7,35902194;109,6548452
991312;Kab. Purbalingga;Polygon;-7,346099692;109,3777858
991308;Kab. Cilacap;MultiPolygon;-7,686803654;108,9929866
991290;Kab. Banyumas;Polygon;-7,43086203;109,2043877
991286;Kab. Blora;Polygon;-7,037265314;111,3645836
991272;Kab. Rembang;MultiPolygon;-6,707264838;111,4492887
991265;Kab. Jepara;MultiPolygon;-6,251375784;110,6212941
991251;Kab. Pemalang;Polygon;-7,010219494;109,414246
991244;Kab. Kudus;Polygon;-6,794016888;110,9013169
991230;Kab. Pati;Polygon;-6,692711995;111,0578439
991223;Kab. Brebes;Polygon;-7,07475796;109,0046856
991219;Kab. Tegal;Polygon;-7,045060755;109,1427134
991202;Kab. Batang;Polygon;-7,015797879;109,8510109
991197;Kab. Pekalongan;Polygon;-7,039500289;109,6285633
