kode,pemda,geo,lat,lon,2018,2022
991684,Kab. Jember,MultiPolygon,"-8,409344645","113,6417471",0.5028136343907826,0.517872801501342
991670,Kab. Banyuwangi,MultiPolygon,"-8,507270898","114,2382236",0.4490109715317227,0.47052184442077033
991663,Kab. Situbondo,Polygon,"-7,739305658","114,0692055",0.408385126903804,0.41219140255089937
991659,Kab. Bondowoso,Polygon,"-7,959053236","113,9313378",0.5102437213936234,0.505912413934265
991642,Kab. Bangkalan,MultiPolygon,"-7,034634347","112,9571143",0.5577372171421249,0.561938273111979
991638,Kab. Sumenep,MultiPolygon,"-6,974480562","114,508371",0.304540436099274,0.304540436099274
991621,Kab. Pamekasan,Polygon,"-7,042009355","113,5729427",0.5102437213936234,0.505912413934265
991617,Kab. Sampang,MultiPolygon,"-7,055565544","113,2032687",0.5102437213936234,0.505912413934265
991600,Kab. Jombang,Polygon,"-7,526103803","112,2499026",0.5577372171421249,0.561914845476246
991595,Kab. Sidoarjo,MultiPolygon,"-7,476967213","112,8113519",0.5577372171421249,0.561938273111979
991581,Kab. Mojokerto,Polygon,"-7,435156505","112,4645548",0.5577372171421249,0.561938273111979
991574,Kab. Gresik,MultiPolygon,"-6,485074568","112,590535",0.304540436099274,0.304540436099274
991553,Kota Yogyakarta,Polygon,"-7,804041724","110,3744277",0.4856516828440664,0.5069582852450286
991549,Kab. Kulon Progo,Polygon,"-7,859298728","110,118558",0.4860933246034565,0.5069582852450286
991532,Kab. Gunung Kidul,MultiPolygon,"-8,030678478","110,6438953",0.3833755523989901,0.38543117330531884
991528,Kab. Sleman,Polygon,"-7,710592491","110,4033063",0.4858181916824498,0.5069582852450286
991511,Kab. Bantul,Polygon,"-7,934834459","110,3109714",0.4860933246034565,0.5069582852450286
991492,Kota Surakarta,Polygon,"-7,564115499","110,8176846",0.4860933246034565,0.5065018224234532
991485,Kota Magelang,Polygon,"-7,471277167","110,2193781",0.4860933246034565,0.5069582852450286
991471,Kota Tegal,Polygon,"-6,862417876","109,1218798",0.304540436099274,0.304540436099274
991464,Kota Pekalongan,Polygon,"-6,891424884","109,6768432",0.3045404114386048,0.304540436099274
991450,Kota Salatiga,Polygon,"-7,330240752","110,5013978",0.4860933246034565,0.5069582852450286
991443,Kota Semarang,MultiPolygon,"-6,987957393","110,4011943",0.3046384067728063,0.3045640980113636
991439,Kab. Wonogiri,Polygon,"-7,996706729","110,9027529",0.4860933246034565,0.5069582852450286
991422,Kab. Karanganyar,MultiPolygon,"-7,588624154","110,9430761",0.4860933246034565,0.5069582852450286
991418,Kab. Sukoharjo,Polygon,"-7,684685643","110,7900101",0.4860933246034565,0.5069582605843594
991401,Kab. Sragen,Polygon,"-7,38714243","110,9844408",0.4860933246034565,0.5069582852450286
